generating 425 real answers
  [answer] 50/425     4.1s   12.2/s
  [answer] 100/425     7.7s   13.0/s
  [answer] 150/425    11.1s   13.5/s
  [answer] 200/425    14.3s   14.0/s
  [answer] 250/425    17.5s   14.3/s
  [answer] 300/425    21.1s   14.2/s
  [answer] 350/425    24.0s   14.6/s
  [answer] 400/425    26.6s   15.0/s
  [answer] 425/425    28.4s   15.0/s
fact-checking real answers against reference claims
  [factcheck] 50/425     3.7s   13.4/s
  [factcheck] 100/425     6.8s   14.8/s
  [factcheck] 150/425     9.7s   15.5/s
  [factcheck] 200/425    12.6s   15.9/s
  [factcheck] 250/425    15.4s   16.3/s
  [factcheck] 300/425    18.6s   16.2/s
  [factcheck] 350/425    21.7s   16.2/s
  [factcheck] 400/425    24.8s   16.1/s
  [factcheck] 425/425    28.2s   15.1/s
restyling into 3 styles
  [restyle] 50/1275     8.1s    6.2/s
  [restyle] 100/1275    14.2s    7.1/s
  [restyle] 150/1275    21.5s    7.0/s
  [restyle] 200/1275    27.2s    7.4/s
  [restyle] 250/1275    32.7s    7.6/s
  [restyle] 300/1275    38.7s    7.7/s
  [restyle] 350/1275    44.8s    7.8/s
  [restyle] 400/1275    51.3s    7.8/s
  [restyle] 450/1275    57.6s    7.8/s
  [restyle] 500/1275    64.1s    7.8/s
  [restyle] 550/1275    70.2s    7.8/s
  [restyle] 600/1275    76.9s    7.8/s
  [restyle] 650/1275    83.0s    7.8/s
  [restyle] 700/1275    88.5s    7.9/s
  [restyle] 750/1275    95.4s    7.9/s
  [restyle] 800/1275   102.6s    7.8/s
