system,track,is_baseline,blimp,glue,glue_type,source,note
GPT-BERT (baseline),strict,1,80.5,70.9,GLUE,main.36,official strict baseline
Simple-Diffusion,strict,0,76.9,71.9,SuperGLUE,main.38,Strict NLP winner (MDLM)
Once Upon a Time,interaction,0,77.5,53.1,GLUE,main.32,Interaction winner (RL storytelling)
BLaLM (strict),strict,0,74.7,56.7,GLUE,main.14,linear attention + Muon
Syntactic-Curriculum,strict,0,70.0,57.5,GLUE,main.22,GPT-2 small + syntactic categories
Batchwise-Convergent,strict,0,49.2,57.7,GLUE,main.36,constrained-optimization pretraining
AMLM-Hard-Decay,strict-small,0,71.4,70.1,SuperGLUE,main.31,Strict-Small NLP winner (adaptive MLM)
AMLM-n-hot,strict-small,0,65.6,67.3,SuperGLUE,main.31,adaptive MLM variant
BLaLM (small),strict-small,0,67.0,57.4,GLUE,main.14,linear attention + Muon
Multi-Token-Prediction,strict-small,0,62.0,63.5,SuperGLUE,main.41,reverse-curriculum MTP
LLM-StudyPlans (human),interaction,0,71.7,64.6,SuperGLUE,main.33,ModernBERT on human 10M
LLM-StudyPlans (synth),interaction,0,63.8,66.4,SuperGLUE,main.33,ModernBERT on synthetic 10M
BitMar,multimodal,0,48.7,60.5,GLUE,main.11,low-bit multimodal + episodic memory
