concept1	concept2	family_count	language_count	english_forms
yoke	yolk	0	0	yoke, yolk
workactivity	worklabour	0	0	wɜːk
weak	week	0	0	weak, week, wiːk
wash	washoneself	0	0	wɒʃ
trapcatch	trappitfall	0	0	trap
thunder	thunderverb	0	0	ˈθʌndə
thou	you	0	0	ewe, j.u, juː, you
temple	temples	0	0	temple, temple(s)
tearofeye	tearshred	0	0	tear
springtime	well	0	0	spring
springofwater	springtime	0	0	spring
sowfemalepig	sowseeds	0	0	sew, sow, səʊ
soundofinstrumentorvoice	soundornoise	0	0	saʊnd
son	sun	0	0	son, sun, sʌn
smokeexhaust	smokeinhale	0	0	smoke
sleep	sleepstate	0	0	sliːp
sew	sowseeds	0	0	sew, sow
sew	sowfemalepig	0	0	sew, sow
sea	see	0	0	s.i, s.iː, sea, see, siː
sail	sailcloth	0	0	sail
rough	roughofsea	0	0	rough
right	write	0	0	right, write, ɹaɪt
read	red	0	0	read, red
pulloffskin	skin	0	0	skin, skɪn
poor	pour	0	0	poor, pour, pɔː, pɔːr
plantsomething	plantvegetation	0	0	plant
peace	piece	0	0	peace, piece
palmofhand	palmtree	0	0	palm
painting	paintpigments	0	0	paint, peɪnt
ofthiskindsuch	sew	0	0	səʊ
oar	or	0	0	oar, or, ɔː
nailtool	toenail	0	0	neɪl
mortar	mortarbinder	0	0	mortar
meat	meet	0	0	meat, meet, miːt
manner	weigh	0	0	way, weigh
magician	which	0	0	which?, witch
lightradiation	lightweight	0	0	light
lightignite	lightweight	0	0	light
lightignite	lightradiation	0	0	laɪt, light
lightcolor	lightweight	0	0	light
lightcolor	lightradiation	0	0	light
lightcolor	lightignite	0	0	light
leadchemicalelement	leadguide	0	0	lead
land	landdescend	0	0	land
knowsomething	no	0	0	know, no
knot	not	0	0	knot, not, nɒt
knead	neednoun	0	0	knead, need
irrigate	water	0	0	ˈwɔːtə
hideconceal	skin	0	0	hide
hear	here	0	0	h.ɪ.r, h.ɪə, hear, here, hɪə
hairhead	hare	0	0	hair, hare
hair	hare	0	0	heə
forest	wood	0	0	wood, wood(s)
foralongtime	long	0	0	lɒŋ
flyinsect	flymovethroughair	0	0	flaɪ, fly
flour	flower	0	0	flour, flower
flea	flee	0	0	flea, flee
fish	fishing	0	0	fɪʃ
fir	fur	0	0	fir, fur, fɜː
fingernail	nailtool	0	0	(finger)nail, nail, neɪl
fatobese	fatorganicsubstance	0	0	fæt
fanaction	fanobject	0	0	fan
eye	i	0	0	I, ai, aɪ, eye
ewe	you	0	0	ewe, you
ewe	thou	0	0	ewe, you
endofspace	endoftime	0	0	end
dry	dryup	0	0	dɹaɪ
drawmilk	milk	0	0	milk, mɪlk
donate	give	0	0	ɡɪv
die	dye	0	0	daɪ, die, dye
day24hours	daynotnight	0	0	day
cure	heel	0	0	heal, heel, hiːl
cover	lidcovercap	0	0	ˈkʌvə
correctright	write	0	0	right, write
correctright	right	0	0	r.aɪ.t, right, write
comb	combverb	0	0	kəʊm
cold	commoncolddisease	0	0	cold
certain	shore	0	0	shore, sure
cease	endofspace	0	0	end
callbyname	name	0	0	neɪm
calf	calfofleg	0	0	calf, kɑːf
boilofliquid	boilsomething	0	0	bɔɪl
boilofliquid	boilofskin	0	0	boil
boarmalepig	bore	0	0	boar, bore
beverage	drink	0	0	drink, drɪŋk
belate	late	0	0	late
be	bee	0	0	be, bee
bark	barking	0	0	bɑːk
askinquire	askrequest	0	0	ask
all	awl	0	0	all, awl
abstainfromfood	fast	0	0	fast
