concept1	concept2	families	languages	varieties	n_varieties_here	likely_homophone	alternatives_only	segments	forms
HE	SHE	226	1395	1946	2	False	False	k a n o ʑ o | k a r e | k a ɾ e	kanojo,kare,kaɾe | kanojo,kare,kaɾe
HE	IT	225	713	958	2	False	False	k a n o ʑ o | k a r e | k a ɾ e	kanojo,kare,kaɾe | kanojo,kare,kaɾe
IT	SHE	225	711	954	2	False	False	k a n o ʑ o | k a r e | k a ɾ e	kanojo,kare,kaɾe | kanojo,kare,kaɾe
HIDE (CONCEAL)	HIDE (ONESELF)	215	1072	1275	2	False	False	k a k ɯ s ɯ	kakɯsɯ,käkɯsɯ | kakɯsɯ,käkɯsɯ
LOWER ARM	UPPER ARM	199	217	217	1	None	False	ɯ d e	ɯde | ɯde
FLESH	MEAT	105	1159	1560	1	False	False	n i k ɯ	niku | niku
FOOT	LEG	100	993	1365	2	False	False	a ɕ i	ashi,äɕi | ashi,äɕi
DAY (NOT NIGHT)	SUN	68	202	290	2	None	False	h i	hi | hi
CLAW	FINGERNAIL	65	392	523	1	None	False	ts u m e	tsume | tsume
MONTH	MOON	60	319	430	2	False	False	ts u k i | ts ɯ kʲ i	tsuki,t͡sɯkʲi | tsuki,t͡sɯkʲi
BELOW OR UNDER	DOWN	60	194	234	1	False	False	ɕ i t a	shita | shita
FOOT	LOWER LEG	60	60	61	1	None	False	a ɕ i	aɕi | aɕi
TREE	WOOD	58	256	319	2	None	False	k i | kʲ i	ki,kʲi | ki,kʲi
HEAR	LISTEN	53	105	110	2	False	False	k i k ɯ | kʲ i k ɯ	kiku,kʲikɯ | kiku,kʲikɯ
SON-IN-LAW (OF MAN)	SON-IN-LAW (OF WOMAN)	52	306	429	1	None	False	m u k o	muko | muko
MALE (OF PERSON)	MALE PERSON	52	134	149	1	None	True	d a n s e i | o t o k o	dansei,otoko | dansei,otoko
DAUGHTER-IN-LAW (OF MAN)	DAUGHTER-IN-LAW (OF WOMAN)	50	161	194	1	False	False	j o m e	yome | yome
LANGUAGE	WORD	47	102	116	1	None	True	k o t o b a	kotoba | kotoba
LEATHER	SKIN	45	168	206	1	None	True	k a w a	kawa | kawa
FEATHER	WING	45	128	181	1	False	False	h a n e̞	häne̞ | häne̞
CLIMB	GO UP (ASCEND)	45	126	138	1	False	False	n o b o r ɯ	noboru | noboru
FATHER-IN-LAW (OF MAN)	FATHER-IN-LAW (OF WOMAN)	43	124	148	1	False	False	ɕ ɯː t o	shūto | shūto
DISH	PLATE	43	108	123	1	None	False	s a r a	sara | sara
MOTHER-IN-LAW (OF MAN)	MOTHER-IN-LAW (OF WOMAN)	41	122	147	1	False	False	ɕ ɯː t o m e	shūtome | shūtome
FEMALE (OF PERSON)	WOMAN	41	93	97	1	False	True	o n n a | ʑ o s e i	josei,onna | josei,onna
HIGH	TALL	38	132	143	1	None	False	t a k a i	takai | takai
NAPE (OF NECK)	NECK	38	73	81	1	None	False	k ɯ bʲ i	kɯbʲi | kɯbʲi
NARROW	THIN (OF SHAPE OF OBJECT)	38	57	72	1	None	True	h o s o i	hosoi | hosoi
LOOK	SEE	36	161	194	1	False	False	m i r ɯ	miru | miru
BREAST	UDDER	36	78	80	1	False	True	o pː a i	oppai | oppai
LIE DOWN	SLEEP	35	200	252	1	False	True	n e r ɯ	neru | neru
BEFORE	IN FRONT OF	34	95	132	2	None	False	m a e	mae | mae
FAT (ORGANIC SUBSTANCE)	OIL (ORGANIC SUBSTANCE)	34	86	90	1	None	True	a b u r a	abura | abura
CHIN	JAW	33	56	62	2	False	False	a g o | a g o̞	ago,äɡo̞ | ago,äɡo̞
LEARN	STUDY	32	90	99	1	False	True	b e n k j oː | m a n a b ɯ	benkyō,manabu | benkyō,manabu
AGE	YEAR	28	51	53	2	False	False	t o ɕ i | t o̞ ɕ i	toshi,to̞ɕi | toshi,to̞ɕi
IT	THAT	27	60	76	1	None	True	s o r e	sore | sore
BELOW OR UNDER	LOW	27	53	63	1	False	False	ɕ i t a + nʲ i	ɕitä_nʲi | ɕitä_nʲi
HOLD	TAKE	26	41	45	1	False	False	t o r ɯ	toru | toru
KEEP	PRESERVE	25	95	123	1	False	True	t a m o ts ɯ	tamotsu | tamotsu
OAR	PADDLE	25	87	121	1	None	True	k a i	kai | kai
BOAT	SHIP	25	43	46	1	False	False	ɸ u n e	fune | fune
DIVIDE	SEPARATE	24	50	53	1	False	False	w a k e r ɯ	wakeru | wakeru
POTATO	SWEET POTATO	24	46	50	1	None	True	i m o	imo | imo
BOWL	CUP	21	36	45	1	False	True	tɕ a w a n	chawan | chawan
DIVIDE	SHARE	19	81	96	1	False	False	w a k e r ɯ	wakeru | wakeru
BAKE	FRY	19	76	92	2	False	False	j a k ɯ	jäkɯ,yaku | jäkɯ,yaku
HOUR	TIME	19	23	23	1	False	False	ʑ i k a n	jikan | jikan
CATCH	TRAP (CATCH)	18	57	73	1	False	False	t o r a e r ɯ	toraeru | toraeru
PAN	POT	18	52	60	1	None	False	n a b e	nabe | nabe
BAKE	ROAST (SOMETHING)	17	62	73	1	False	False	j a k ɯ	yaku | yaku
BITE	CHEW	17	45	49	1	False	False	k a m ɯ	kamu | kamu
CARRY IN HAND	HOLD	17	31	32	1	False	False	m o ts ɯ	motsu | motsu
BESIDE	SIDE	17	25	25	1	False	False	j o k o	yoko | yoko
BAD	EVIL	15	558	666	1	False	False	w a ɾ ɯ i	wäɾɯi | wäɾɯi
CLAY	EARTH (SOIL)	15	35	42	1	False	False	ts u tɕ i	tsuchi | tsuchi
BLAME	FAULT	15	27	28	1	None	True	s e k i n i n	sekinin | sekinin
SHOOT	STRIKE	15	27	28	1	False	False	ɯ ts ɯ	utsu | utsu
GRANDMOTHER	OLD WOMAN	15	26	26	1	False	True	o b aː s a n	obāsan | obāsan
SPEAK	TALK	14	58	58	1	False	False	h a n a s ɯ	hänäsɯ | hänäsɯ
CLEVER	WISE	14	56	67	1	False	True	k a ɕ i k o i | s oː m e i	kashikoi,sōmei | kashikoi,sōmei
DRIVE	GO	14	38	38	1	None	False	i k ɯ	ikɯ | ikɯ
BREAK (CLEAVE)	DESTROY	14	32	35	1	False	False	k o w a s ɯ	kowasu | kowasu
LAND	MAINLAND	14	21	21	1	False	True	t a i r i k ɯ	tairiku | tairiku
HEART	SOUL	13	51	53	1	None	True	k o k o r o	kokoro | kokoro
BRIGHT	LIGHT (COLOR)	13	49	61	1	None	False	a k a r u i	akarui | akarui
PULL	STRETCH	13	47	61	1	False	True	h i pː a r ɯ	hipparu | hipparu
FLY (MOVE THROUGH AIR)	JUMP	13	40	44	2	False	False	t o b ɯ | t o̞ b ɯ	tobu,to̞bɯ | tobu,to̞bɯ
DECEIVE	SWINDLE	13	37	37	1	False	False	d a m a s ɯ	dämäsɯ | dämäsɯ
CULTIVATE	PLOUGH	13	29	31	1	False	False	t a g a j a s ɯ	tagayasu | tagayasu
DAY (24 HOURS)	SUN	13	24	25	1	None	True	h i	hi | hi
DRAW MILK	SQUEEZE	13	24	24	1	False	False	ɕ i b o r ɯ	shiboru | shiboru
PART	PIECE	13	22	24	1	None	False	b ɯ b ɯ̃ ɴ	bɯbɯ̃ɴ | bɯbɯ̃ɴ
FEEL	TOUCH	13	21	21	1	False	True	s a w a r ɯ	sawaru | sawaru
CATCH	GET	13	20	20	1	None	False	ɯ kʲ e̞ ɾ ɯ	ɯkʲe̞ɾɯ | ɯkʲe̞ɾɯ
HARE	RABBIT	13	16	16	1	False	False	ɯ s a g i	usagi | usagi
EAR	EARLOBE	12	20	20	1	False	True	ʑ i d a	jida | jida
COME BACK	RETURN HOME	11	55	60	1	False	False	k a e r ɯ	kaeru | kaeru
SEPARATE	SHARE	11	23	24	1	False	False	w a k e r ɯ	wakeru | wakeru
COOKED	COOK (SOMETHING)	11	22	22	1	False	True	h i + o + t oː s ɯ | tɕ oː r i	chōri,hi_o_tōsu | chōri,hi_o_tōsu
MIND	SOUL	11	19	20	1	False	True	k o k o r o | s e i ɕ i n	kokoro,seishin | kokoro,seishin
IN	INSIDE	11	18	18	1	None	False	n a k a	naka | naka
DISEASE	SICK	11	17	18	1	False	False	b j oː k i	byōki | byōki
GRANDFATHER	OLD MAN	11	16	16	1	False	True	o ʑ iː s a n	ojiisan | ojiisan
BOLT (OF LIGHTNING)	THUNDER	11	15	15	1	None	True	k a m i n a r i	kaminari | kaminari
HOST	MASTER	10	52	67	1	False	True	a r u ʑ i | ɕ u ʑ i n	aruji,shujin | aruji,shujin
BREAK (BREAKING)	DESTROY	10	24	25	1	False	False	k o w a s ɯ	kowasu | kowasu
HAVE	HOLD	10	13	13	1	False	True	m o ts ɯ	motsu | motsu
BEAUTIFUL	CLEAN	10	12	15	1	None	True	k i r e i	kirei | kirei
INSECT	WORM	9	26	27	1	False	False	m u ɕ i	mushi | mushi
BUTTOCKS	HIP	9	24	26	1	False	True	d e n b ɯ | ɕ i r i	denbu,shiri | denbu,shiri
NASAL MUCUS (SNOT)	NOSE	9	21	25	1	None	False	h a n a	hana | hana
EDGE	END (OF SPACE)	9	19	21	1	False	True	h a ɕ i	hashi | hashi
ADJUDICATE	JUDGMENT	9	15	16	1	False	True	h a n k e ts ɯ	hanketsu | hanketsu
DRESS UP	PUT ON	9	14	14	1	None	False	kʲ i ɾ ɯ	kʲiɾɯ | kʲiɾɯ
ABOVE	UP	9	11	11	1	False	False	ɯ e	ue | ue
AND	WITH	8	21	21	1	None	True	t o	to | to
