concept1	concept2	families	languages	varieties	n_varieties_here	likely_homophone	alternatives_only	segments	forms
FOOT	LEG	100	993	1365	1	None	False	n o g a	n.o.g.a | n.o.g.a
LEATHER	SKIN	45	168	206	1	None	False	k ɔˑ ʒ ə	kɔˑʒə | kɔˑʒə
FINGER	TOE	39	131	153	1	False	False	p aˑ l ɪ ts	paˑlɪt͡s | paˑlɪt͡s
AT	IN	30	106	131	1	None	False	v	v | v
LIFT	PICK UP	23	102	125	1	None	False	p ɐ d nʲ aˑ tʲ	pɐdnʲaˑtʲ | pɐdnʲaˑtʲ
HOME	HOUSE	16	59	64	1	None	False	d ɔˑ m	dɔˑm | dɔˑm
BUTTER	OIL (ORGANIC SUBSTANCE)	15	38	45	1	False	False	m aˑ s lˠ ə	maˑsɫə | maˑsɫə
CALCULATE	COUNT	14	41	41	1	False	False	s tʃʲ i t aˑ tʲ	st͡ʃʲitaˑtʲ | st͡ʃʲitaˑtʲ
LANGUAGE	TONGUE	13	105	147	1	None	False	j ɐ z ɨˑ k	jɐzɨˑk | jɐzɨˑk
LIKE	LOVE	11	37	39	1	None	False	l u bʲ iˑ tʲ	lubʲiˑtʲ | lubʲiˑtʲ
ALONE	ONE	9	19	19	1	None	False	ɐ dʲ iˑ n	ɐdʲiˑn | ɐdʲiˑn
FINE OR THIN	THIN (OF SHAPE OF OBJECT)	7	22	22	1	None	False	t ɔˑ n k i j	tɔˑnkij | tɔˑnkij
BREATH	SPIRIT	5	11	11	1	None	False	d uˑ x	duˑx | duˑx
BAKE	STOVE	3	4	4	1	False	False	pʲ eˑ tʃʲ	pʲeˑt͡ʃʲ | pʲeˑt͡ʃʲ
